id real,nome atual no catálogo,imagem atual,imagem correta de referência,status,observação curta
1,Acidificante Capilar De Sírius 230g,acidificante-capilar.jpg,Acidificante Capilar 230g,Confirmada,Correspondência exata de nome e peso.
2,Shampoo Acidificante De Sírius 250ml,shampoo-acidificante.jpg,Shampoo Acidificante 250ml,Confirmada,Correspondência exata de linha e volume.
3,Ella Leve Splash De Sírius 200ml,ella-leve.jpg,Ella Leve Hair & Body Splash,Confirmada,Linha Ella confirmada.
4,Ella Intensa Splash De Sírius 200ml,ella-intensa.jpg,Ella Intensa Hair & Body Splash,Confirmada,Linha Ella confirmada.
5,Condicionador Acidificante De Sírius 250ml,cond-acidificante.jpg,Condicionador Acidificante 250ml,Confirmada,Correspondência exata.
6,Creme Iluminador Absoluto De Sírius 300g,creme-ilum.jpg,Creme Iluminador Absoluto 300g,Confirmada,Linha Iluminador Absoluto.
7,K Liss Unik Keratin De Sírius 1L,k-liss-1l.jpg,K Liss Unik Keratin 1L,Confirmada,Produto profissional confirmado.
8,Creme Nutrição Profunda De Sírius 300g,creme-nutr.jpg,Creme Nutrição Profunda 300g,Confirmada,Linha Nutrição Profunda.
9,Shampoo Iluminador Absoluto De Sírius 300ml,sh-ilum.jpg,Shampoo Iluminador Absoluto 300ml,Confirmada,Correspondência exata.
10,Condicionador Iluminador Absoluto 300ml,cond-ilum.jpg,Condicionador Iluminador Absoluto,Confirmada,Correspondência exata.
11,Shampoo Reconstrutor Kerativa 300ml,sh-kerativa.jpg,Shampoo Reconstrutor Kerativa,Confirmada,Linha Kerativa.
12,Creme Reconstrutor Kerativa 300ml,creme-kerativa.jpg,Creme Reconstrutor Kerativa,Confirmada,Linha Kerativa.
13,Corative Color + 4.0 Castanho Médio 60g,corative-4.jpg,Corative 4.0 Castanho Médio,Confirmada,Tonalidade confirmada.
14,Corative Color + 5.0 Castanho Claro 60g,corative-5.jpg,Corative 5.0 Castanho Claro,Confirmada,Tonalidade confirmada.
15,Corative Color + 7.7 Louro Médio Marrom,corative-7.jpg,Corative 7.7 Louro Médio Marrom,Confirmada,Tonalidade confirmada.
16,Tonative Color + 4.0 Castanho Médio 60g,tonative-4.jpg,Tonative 4.0 Castanho Médio,Confirmada,Tonalidade confirmada.
17,Água Oxigenada 20 Vol. 900g,ox-20.jpg,Água Oxigenada 20 Vol.,Confirmada,Volume e peso batem.
18,Creme Reconstrutor Kerativa De Sírius 1L,creme-kerativa-1l.jpg,Creme Reconstrutor Kerativa 1L,Confirmada,Versão profissional.
19,Leave-in Reconstrutor O Indispensável,indispensavel.jpg,O Indispensável 120ml,Confirmada,Produto icônico confirmado.
22,Shampoo Reconstrutor Kerativa 1L,sh-kerativa-1l.jpg,Shampoo Reconstrutor Kerativa 1L,Confirmada,Versão profissional.
23,DD Spray Nutrição Profunda 120ml,dd-spray.jpg,DD Spray Nutrição Profunda,Confirmada,Correspondência exata.
24,Creme Restaurador Intenso 300g,creme-rest.jpg,Creme Restaurador Intenso 300g,Confirmada,Correspondência exata.
25,Fiber Reconstructor De Sírius 100ml,fiber.jpg,Fiber Reconstructor 100ml,Confirmada,Correspondência exata.
26,Condicionador Restaurador Intenso 300ml,cond-rest.jpg,Condicionador Restaurador Intenso,Confirmada,Correspondência exata.
27,Elixir 12 em 1 Iluminador Absoluto,elixir.jpg,Elixir 12 em 1 Iluminador,Confirmada,Correspondência exata.
28,Água Oxigenada 10 Vol. 900g,ox-10.jpg,Água Oxigenada 10 Vol.,Confirmada,Volume e peso batem.
29,Água Oxigenada 30 Vol. 900g,ox-30.jpg,Água Oxigenada 30 Vol.,Confirmada,Volume e peso batem.
31,Shampoo Nutrição Profunda 300ml,sh-nutr.jpg,Shampoo Nutrição Profunda,Confirmada,Correspondência exata.
32,Condicionador Nutrição Profunda 300ml,cond-nutr.jpg,Condicionador Nutrição Profunda,Confirmada,Correspondência exata.
33,Tonative Color + 3.0 Castanho Escuro,tonative-3.jpg,Tonative 3.0 Castanho Escuro,Confirmada,Tonalidade confirmada.
35,Corative Color + 1.0 Preto 60g,corative-1.jpg,Corative 1.0 Preto,Confirmada,Tonalidade confirmada.
38,Shampoo Restaurador Intenso 300ml,sh-rest.jpg,Shampoo Restaurador Intenso,Confirmada,Correspondência exata.
